"","sciname","fbname","common"
"1398","Thalassoma amblycephalum","Bluntheaded wrasse","Bluntheaded wrasse"
"1399","Austrolabrus maculatus","null","null"
"1400","Symphodus ocellatus","null","null"
"1401","Bodianus speciosus","Blackbar hogfish","Blackbar hogfish"
"1402","Paracheilinus cyaneus","Blue flasherwrasse","Blue flasherwrasse"
"1403","Bodianus scrofa","Barred hogfish","Barred hogfish"
"1404","Cheilinus abudjubbe","null","null"
"1405","Labropsis xanthonota","Yellowback tubelip","Yellowback tubelip"
"1406","Coris ballieui","null","null"
"1407","Choerodon zosterophorus","Zoster wrasse","Zoster wrasse"
"1408","Cirrhilabrus randalli","Randall's wrasse","Randall's wrasse"
"1409","Cirrhilabrus flavidorsalis","Yellowfin fairy wrasse","Yellowfin fairy wrasse"
"1410","Bodianus frenchii","Foxfish","Foxfish"
"1411","Halichoeres richmondi","Richmond's wrasse","Richmond's wrasse"
"1412","Choerodon fasciatus","Harlequin tuskfish","Harlequin tuskfish"
"1413","Halichoeres cyanocephalus","Yellowcheek wrasse","Yellowcheek wrasse"
"1414","Paracheilinus carpenteri","Pink flasher","Pink flasher"
"1415","Halichoeres podostigma","Axil spot  wrasse","Axil spot  wrasse"
"1416","Bodianus axillaris","Axilspot hogfish","Axilspot hogfish"
"1417","Diproctacanthus xanthurus","Yellowtail tubelip","Yellowtail tubelip"
"1418","Cirrhilabrus luteovittatus","Yellowband wrasse","Yellowband wrasse"
"1419","Pictilabrus laticlavius","Patrician wrasse","Patrician wrasse"
"1420","Achoerodus gouldii","Western blue groper","Western blue groper"
"1421","Symphodus bailloni","Baillon's wrasse","Baillon's wrasse"
"1422","Oxycheilinus bimaculatus","Two-spot wrasse","Two-spot wrasse"
"1423","Thalassoma rueppellii","Klunzinger's wrasse","Klunzinger's wrasse"
"1424","Terelabrus rubrovittatus","null","null"
"1425","Larabicus quadrilineatus","Fourline wrasse","Fourline wrasse"
"1426","Hologymnosus doliatus","Pastel ringwrasse","Pastel ringwrasse"
"1427","Bodianus paraleucosticticus","null","null"
"1428","Cymolutes torquatus","Finescale razorfish","Finescale razorfish"
"1429","Halichoeres raisneri",NA,"Cape wrasse"
"1430","Pseudolabrus guentheri","Günther's wrasse","Günther's wrasse"
"1431","Halichoeres zeylonicus","Goldstripe wrasse","Goldstripe wrasse"
"1432","Notolabrus parilus","Brownspotted wrasse","Brownspotted wrasse"
"1433","Gomphosus varius","Bird wrasse","Bird wrasse"
"1434","Halichoeres orientalis","null","null"
"1435","Cirrhilabrus roseafascia","pink-banded fairy-warsse","pink-banded fairy-warsse"
"1436","Iniistius twistii","Redblotch razorfish","Redblotch razorfish"
"1437","Labrus merula","Brown wrasse","Brown wrasse"
"1438","Cirrhilabrus cenderawasih","Cenderawasih wrasse","Cenderawasih wrasse"
"1439","Cirrhilabrus cyanopleura","Blueside wrasse","Blueside wrasse"
"1440","Halichoeres timorensis","Timor wrasse","Timor wrasse"
"1441","Clepticus parrae","Creole wrasse","Creole wrasse"
"1442","Pseudocoris yamashiroi","Redspot wrasse","Redspot wrasse"
"1443","Halichoeres nebulosus","Nebulous wrasse","Nebulous wrasse"
"1444","Halichoeres maculipinna","Clown wrasse","Clown wrasse"
"1445","Hemigymnus sexfasciatus","null","null"
"1446","Bodianus vulpinus","Western pigfish","Western pigfish"
"1447","Bodianus bilunulatus","Tarry hogfish","Tarry hogfish"
"1448","Anampses chrysocephalus","Red tail wrasse","Red tail wrasse"
"1449","Thalassoma hardwicke","Sixbar wrasse","Sixbar wrasse"
"1450","Paracheilinus lineopunctatus","Spot-lined flasher","Spot-lined flasher"
"1451","Halichoeres solorensis","Green wrasse","Green wrasse"
"1452","Suezichthys gracilis","Slender wrasse","Slender wrasse"
"1453","Stethojulis interrupta","Cutribbon wrasse","Cutribbon wrasse"
"1454","Halichoeres melasmapomus","Cheekspot wrasse","Cheekspot wrasse"
"1455","Halichoeres biocellatus","Red-lined wrasse","Red-lined wrasse"
"1456","Notolabrus cinctus","null","null"
"1457","Anampses lennardi","Blue and yellow wrasse","Blue and yellow wrasse"
"1458","Choerodon oligacanthus","White-patch tuskfish","White-patch tuskfish"
"1459","Gomphosus caeruleus","Green birdmouth wrasse","Green birdmouth wrasse"
"1460","Bodianus pulchellus","Spotfin hogfish","Spotfin hogfish"
"1461","Bodianus prognathus","null","null"
"1462","Symphodus rostratus","null","null"
"1463","Suezichthys soelae","Soela wrasse","Soela wrasse"
"1464","Labroides pectoralis","Blackspot cleaner wrasse","Blackspot cleaner wrasse"
"1465","Bodianus sepiacaudus","Crescent-tail hogfish","Crescent-tail hogfish"
"1466","Oxycheilinus nigromarginatus","Blackmargin maori wrasse","Blackmargin maori wrasse"
"1467","Choerodon anchorago","Orange-dotted tuskfish","Orange-dotted tuskfish"
"1468","Cirrhilabrus pylei","Pyle's wrasse","Pyle's wrasse"
"1469","Cirrhilabrus rubrisquamis","null","null"
"1470","Bodianus cylindriatus","null","null"
"1471","Halichoeres poeyi","Blackear wrasse","Blackear wrasse"
"1472","Halichoeres signifer","null","null"
"1473","Pseudojuloides atavai","Polynesian wrasse","Polynesian wrasse"
"1474","Bodianus diana","Diana's hogfish","Diana's hogfish"
"1475","Suezichthys aylingi","Crimson cleaner fish","Crimson cleaner fish"
"1476","Halichoeres iridis","null","null"
"1477","Iniistius auropunctatus","null","null"
"1478","Pseudocheilinops ataenia","Pelvic-spot wrasse","Pelvic-spot wrasse"
"1479","Symphodus caeruleus",NA,"Symphodus caeruleus"
"1480","Cirrhilabrus balteatus","Girdled wrasse","Girdled wrasse"
"1481","Bodianus rubrisos","Red-sashed hogfish","Red-sashed hogfish"
"1482","Halichoeres bicolor","Pearly-spotted wrasse","Pearly-spotted wrasse"
"1483","Cirrhilabrus scottorum","Scott's wrasse","Scott's wrasse"
"1484","Halichoeres nigrescens","Bubblefin wrasse","Bubblefin wrasse"
"1485","Thalassoma ballieui","Blacktail wrasse","Blacktail wrasse"
"1486","Coris flavovittata","Yellowstripe coris","Yellowstripe coris"
"1487","Coris roseoviridis","null","null"
"1488","Pteragogus enneacanthus","Cockerel wrasse","Cockerel wrasse"
"1489","Cirrhilabrus lubbocki","Lubbock's wrasse","Lubbock's wrasse"
"1490","Iniistius celebicus","Celebes razorfish","Celebes razorfish"
"1491","Pseudocoris ocellata","null","null"
"1492","Choerodon jordani","Jordan's tuskfish","Jordan's tuskfish"
"1493","Decodon puellaris","Red hogfish","Red hogfish"
"1494","Cirrhilabrus lunatus","null","null"
"1495","Cheilinus lunulatus","Broomtail wrasse","Broomtail wrasse"
"1496","Labropsis manabei","Northern tubelip","Northern tubelip"
"1497","Pseudocheilinus octotaenia","Eight-lined wrasse","Eight-lined wrasse"
"1498","Epibulus brevis","Latent slingjaw wrasse","Latent slingjaw wrasse"
"1499","Iniistius dea","Blackspot razorfish","Blackspot razorfish"
"1500","Halichoeres chrysus","Canary wrasse","Canary wrasse"
"1501","Pteragogus guttatus","Sneaky wrasse","Sneaky wrasse"
"1502","Hologymnosus rhodonotus","Redback longface wrasse","Redback longface wrasse"
"1503","Xyrichtys pastellus",NA,"Pastel razorfish"
"1504","Pictilabrus viridis","False senator wrasse","False senator wrasse"
"1505","Labrichthys unilineatus","Tubelip wrasse","Tubelip wrasse"
"1506","Stethojulis albovittata","Bluelined wrasse","Bluelined wrasse"
"1507","Notolabrus gymnogenis","Crimsonband wrasse","Crimsonband wrasse"
"1508","Halichoeres miniatus","Circle-cheek wrasse","Circle-cheek wrasse"
"1509","Paracheilinus flavianalis","Yellowfin flasher wrasse","Yellowfin flasher wrasse"
"1510","Cirrhilabrus temminckii","Threadfin wrasse","Threadfin wrasse"
"1511","Bodianus bimaculatus","Twospot hogfish","Twospot hogfish"
"1512","Anampses lineatus","Lined wrasse","Lined wrasse"
"1513","Coris cuvieri","null","null"
"1514","Pseudolabrus mortonii",NA,"Rosy parrotfish"
"1515","Bodianus insularis","Island hogfish","Island hogfish"
"1516","Cirrhilabrus lanceolatus","Long-tailed wrasse","Long-tailed wrasse"
"1517","Pseudojuloides severnsi","Severns' wrasse","Severns' wrasse"
"1518","Bodianus mesothorax","Splitlevel hogfish","Splitlevel hogfish"
"1519","Choerodon melanostigma","null","null"
"1520","Bodianus macrourus","Black-banded hogfish","Black-banded hogfish"
"1521","Cheilinus oxycephalus","Snooty wrasse","Snooty wrasse"
"1522","Bodianus flavipinnis","Yellowfin pigfish","Yellowfin pigfish"
"1523","Pteragogus pelycus","Sideburn wrasse","Sideburn wrasse"
"1524","Thalassoma bifasciatum","Bluehead","Bluehead"
"1525","Symphodus roissali","Five-spotted wrasse","Five-spotted wrasse"
"1526","Labrus viridis","null","null"
"1527","Iniistius melanopus","Yellowpatch razorfish","Yellowpatch razorfish"
"1528","Paracheilinus angulatus","Angular flasher","Angular flasher"
"1529","Iniistius griffithsi","Griffiths' razorfish","Griffiths' razorfish"
"1530","Pseudocheilinus evanidus","Striated wrasse","Striated wrasse"
"1531","Coris hewetti","null","null"
"1532","Notolabrus celidotus","Spotty","Spotty"
"1533","Coris formosa","Queen coris","Queen coris"
"1534","Pseudocheilinus dispilus","null","null"
"1535","Macropharyngodon cyanoguttatus","null","null"
"1536","Xyrichtys splendens","Green razorfish","Green razorfish"
"1537","Bodianus rufus","Spanish hogfish","Spanish hogfish"
"1538","Halichoeres hortulanus","Checkerboard wrasse","Checkerboard wrasse"
"1539","Oxycheilinus unifasciatus","Ringtail maori wrasse","Ringtail maori wrasse"
"1540","Labropsis australis","Southern tubelip","Southern tubelip"
"1541","Halichoeres melanurus","Tail-spot wrasse","Tail-spot wrasse"
"1542","Lappanella fasciata","null","null"
"1543","Coris picta","Comb wrasse","Comb wrasse"
"1544","Macropharyngodon geoffroy","Geoffroy's wrasse","Geoffroy's wrasse"
"1545","Cymolutes praetextatus","Knife razorfish","Knife razorfish"
"1546","Bodianus macrognathos","Giant hogfish","Giant hogfish"
"1547","Pteragogus flagellifer","Cocktail wrasse","Cocktail wrasse"
"1548","Thalassoma lutescens","Yellow-brown wrasse","Yellow-brown wrasse"
"1549","Halichoeres chlorocephalus","Greenhead wrasse","Greenhead wrasse"
"1550","Pseudocoris heteroptera","Torpedo wrasse","Torpedo wrasse"
"1551","Stethojulis trilineata","Three-lined rainbowfish","Three-lined rainbowfish"
"1552","Bodianus leucosticticus","Lined hogfish","Lined hogfish"
"1553","Halichoeres lapillus","Jewelled wrasse","Jewelled wrasse"
"1554","Macropharyngodon meleagris","Blackspotted wrasse","Blackspotted wrasse"
"1555","Thalassoma nigrofasciatum","Blackbarred wrasse","Blackbarred wrasse"
"1556","Halichoeres melanochir","Orangefin wrasse","Orangefin wrasse"
"1557","Xyrichtys novacula","Pearly razorfish","Pearly razorfish"
"1558","Bodianus masudai","null","null"
"1559","Hologymnosus annulatus","Ring wrasse","Ring wrasse"
"1560","Halichoeres claudia","Claudia's wrasse","Claudia's wrasse"
"1561","Xenojulis margaritaceus","Finspot wrasse","Finspot wrasse"
"1562","Labropsis alleni","Allen's tubelip","Allen's tubelip"
"1563","Iniistius pavo","Peacock wrasse","Peacock wrasse"
"1564","Thalassoma trilobatum","Christmas wrasse","Christmas wrasse"
"1565","Anampses geographicus","Geographic wrasse","Geographic wrasse"
"1566","Thalassoma duperrey","Saddle wrasse","Saddle wrasse"
"1567","Pseudodax moluccanus","Chiseltooth wrasse","Chiseltooth wrasse"
"1568","Symphodus cinereus","Grey wrasse","Grey wrasse"
"1569","Bodianus anthioides","Lyretail hogfish","Lyretail hogfish"
"1570","Anampses caeruleopunctatus","Bluespotted wrasse","Bluespotted wrasse"
"1571","Oxycheilinus arenatus","Speckled maori wrasse","Speckled maori wrasse"
"1572","Clepticus brasiliensis","null","null"
"1573","Choerodon sugillatum","Wedge-tailed tuskfish","Wedge-tailed tuskfish"
"1574","Bodianus izuensis","Striped pigfish","Striped pigfish"
"1575","Epibulus insidiator","Sling-jaw wrasse","Sling-jaw wrasse"
"1576","Anampses meleagrides","Spotted wrasse","Spotted wrasse"
"1577","Halichoeres garnoti","Yellowhead wrasse","Yellowhead wrasse"
"1578","Polylepion cruentum","Bleeding wrasse","Bleeding wrasse"
"1579","Cirrhilabrus rubriventralis","Social wrasse","Social wrasse"
"1580","Iniistius bimaculatus","Two-spot razorfish","Two-spot razorfish"
"1581","Labropsis micronesica","Micronesian wrasse","Micronesian wrasse"
"1582","Coris aurilineata","Goldlined coris","Goldlined coris"
"1583","Stethojulis notialis","null","null"
"1584","Iniistius baldwini","Baldwin's razorfish","Baldwin's razorfish"
"1585","Halichoeres brasiliensis","Brazilian wrasse","Brazilian wrasse"
"1586","Thalassoma quinquevittatum","Fivestripe wrasse","Fivestripe wrasse"
"1587","Oxycheilinus mentalis","Mental wrasse","Mental wrasse"
"1588","Halichoeres radiatus","Puddingwife wrasse","Puddingwife wrasse"
"1589","Oxycheilinus lineatus","null","null"
"1590","Stethojulis terina","null","null"
"1591","Cheilinus fasciatus","Redbreasted wrasse","Redbreasted wrasse"
"1592","Pseudocheilinus tetrataenia","Four-lined wrasse","Four-lined wrasse"
"1593","Pseudocheilinus citrinus","null","null"
"1594","Cirrhilabrus beauperryi","Beau’s wrasse","Beau’s wrasse"
"1595","Bodianus loxozonus","Blackfin hogfish","Blackfin hogfish"
"1596","Thalassoma purpureum","Surge wrasse","Surge wrasse"
"1597","Choerodon robustus","Robust tuskfish","Robust tuskfish"
"1598","Symphodus melops","Corkwing wrasse","Corkwing wrasse"
"1599","Leptojulis chrysotaenia","Ochreband wrasse","Ochreband wrasse"
"1600","Halichoeres trispilus","Triplespot warsse","Triplespot warsse"
"1601","Ctenolabrus rupestris","Goldsinny-wrasse","Goldsinny-wrasse"
"1602","Coris julis","Mediterranean rainbow wrasse","Mediterranean rainbow wrasse"
"1603","Bodianus trilineatus","Fourline hogfish","Fourline hogfish"
"1604","Cymolutes lecluse","Sharp-headed wrasse","Sharp-headed wrasse"
"1605","Labroides rubrolabiatus","Redlip cleaner wrasse","Redlip cleaner wrasse"
"1606","Symphodus melanocercus","null","null"
"1607","Paracheilinus nursalim","Nursalim flasherwrasse","Nursalim flasherwrasse"
"1608","Anampses cuvier","Pearl wrasse","Pearl wrasse"
"1609","Anampses neoguinaicus","New Guinea wrasse","New Guinea wrasse"
"1610","Oxycheilinus celebicus","Celebes wrasse","Celebes wrasse"
"1611","Novaculichthys macrolepidotus",NA,"Seagrass wrasse"
"1612","Paracheilinus bellae","Bell's flasher","Bell's flasher"
"1613","Halichoeres kallochroma","null","null"
"1614","Labroides bicolor","Bicolor cleaner wrasse","Bicolor cleaner wrasse"
"1615","Macropharyngodon ornatus","False leopard","False leopard"
"1616","Cirrhilabrus punctatus","Dotted wrasse","Dotted wrasse"
"1617","Cirrhilabrus walindi","Walindi fairy-warsse","Walindi fairy-warsse"
"1618","Macropharyngodon negrosensis","Yellowspotted wrasse","Yellowspotted wrasse"
"1619","Symphodus doderleini","null","null"
"1620","Polylepion russelli","null","null"
"1621","Thalassoma hebraicum","Goldbar wrasse","Goldbar wrasse"
"1622","Thalassoma jansenii","Jansen's wrasse","Jansen's wrasse"
"1623","Bodianus perditio","Golden-spot hogfish","Golden-spot hogfish"
"1624","Xyrichtys halsteadi",NA,"Halstead's razorfish"
"1625","Halichoeres hartzfeldii","Hartzfeld's wrasse","Hartzfeld's wrasse"
"1626","Anampses twistii","Yellowbreasted wrasse","Yellowbreasted wrasse"
"1627","Coris venusta","Elegant coris","Elegant coris"
"1628","Halichoeres pallidus","Pale wrasse","Pale wrasse"
"1629","Thalassoma noronhanum","Noronha wrasse","Noronha wrasse"
"1630","Cirrhilabrus joanallenae","Joan's fairy-warsse","Joan's fairy-warsse"
"1631","Halichoeres leptotaenia","null","null"
"1632","Paracheilinus rubricaudalis","Redtail flasherwrasse","Redtail flasherwrasse"
"1633","Coris centralis","null","null"
"1634","Macropharyngodon moyeri","null","null"
"1635","Choerodon monostigma","Dark-spot tuskfish","Dark-spot tuskfish"
"1636","Pteragogus taeniops","Cheekbar wrasse","Cheekbar wrasse"
"1637","Leptojulis cyanopleura","Shoulder-spot wrasse","Shoulder-spot wrasse"
"1638","Cirrhilabrus adornatus","Red-fin fairy wrasse","Red-fin fairy wrasse"
"1639","Stethojulis balteata","Belted wrasse","Belted wrasse"
"1640","Cirrhilabrus rubrimarginatus","Red-margined wrasse","Red-margined wrasse"
"1641","Coris aygula","Clown coris","Clown coris"
"1642","Centrolabrus exoletus","Rock cook","Rock cook"
"1643","Bodianus oxycephalus","null","null"
"1644","Symphodus tinca","East Atlantic peacock wrasse","East Atlantic peacock wrasse"
"1645","Bodianus flavifrons","Masked pigfish","Masked pigfish"
"1646","Anampses femininus","Blue-striped orange tamarin","Blue-striped orange tamarin"
"1647","Xiphocheilus typus","Blue-banded wrasse","Blue-banded wrasse"
"1648","Halichoeres chloropterus","Pastel-green wrasse","Pastel-green wrasse"
"1649","Bodianus unimaculatus","Red pigfish","Red pigfish"
"1650","Suezichthys arquatus","Rainbow slender wrasse","Rainbow slender wrasse"
"1651","Leptojulis polylepis","Smallscale wrasse","Smallscale wrasse"
"1652","Haletta semifasciata","Blue weed whiting","Blue weed whiting"
"1653","Heteroscarus acroptilus","Rainbow cale","Rainbow cale"
"1654","Neoodax balteatus","Little weed whiting","Little weed whiting"
"1655","Olisthops cyanomelas","Herring cale","Herring cale"
"1656","Siphonognathus caninis","Sharpnose weed whiting","Sharpnose weed whiting"
"1657","Siphonognathus argyrophanes","Tubemouth","Tubemouth"
"1658","Siphonognathus attenuatus","Slender weed whiting","Slender weed whiting"
"1659","Siphonognathus radiatus","Long-rayed weed whiting","Long-rayed weed whiting"
"1660","Siphonognathus tanyourus","Longtail weed whiting","Longtail weed whiting"
"1661","Calotomus spinidens","Spinytooth parrotfish","Spinytooth parrotfish"
"1662","Calotomus japonicus","Japanese parrotfish","Japanese parrotfish"
"1663","Calotomus zonarchus","Yellowbar parrot","Yellowbar parrot"
"1664","Calotomus carolinus","Carolines parrotfish","Carolines parrotfish"
"1665","Cetoscarus bicolor","Bicolour parrotfish","Bicolour parrotfish"
"1666","Cetoscarus ocellatus","Spotted parrotfish","Spotted parrotfish"
"1667","Chlorurus enneacanthus","Captain parrotfish","Captain parrotfish"
"1668","Scarus collana","Red Sea parrotfish","Red Sea parrotfish"
"1669","Scarus globiceps","Globehead parrotfish","Globehead parrotfish"
"1670","Scarus flavipectoralis","Yellowfin parrotfish","Yellowfin parrotfish"
"1671","Chlorurus capistratoides","Indian parrotfish","Indian parrotfish"
"1672","Scarus vetula","Queen parrotfish","Queen parrotfish"
"1673","Chlorurus atrilunula","Bluemoon parrotfish","Bluemoon parrotfish"
"1674","Scarus scaber","Fivesaddle parrotfish","Fivesaddle parrotfish"
"1675","Nicholsina collettei",NA,"Nicholsina collettei"
"1676","Scarus fuscocaudalis","Darktail parrotfish","Darktail parrotfish"
"1677","Scarus hoefleri","Guinean parrotfish","Guinean parrotfish"
"1678","Scarus tricolor","Tricolour parrotfish","Tricolour parrotfish"
"1679","Scarus ghobban","Blue-barred parrotfish","Blue-barred parrotfish"
"1680","Scarus russelii","Eclipse parrotfish","Eclipse parrotfish"
"1681","Scarus chameleon","Chameleon parrotfish","Chameleon parrotfish"
"1682","Scarus quoyi","Quoy's parrotfish","Quoy's parrotfish"
"1683","Scarus coeruleus","Blue parrotfish","Blue parrotfish"
"1684","Sparisoma cretense","Parrotfish","Parrotfish"
"1685","Chlorurus bowersi","Bower's parrotfish","Bower's parrotfish"
"1686","Sparisoma radians","Bucktooth parrotfish","Bucktooth parrotfish"
"1687","Scarus spinus","Greensnout parrotfish","Greensnout parrotfish"
"1688","Scarus fuscopurpureus","Purple-brown parrotfish","Purple-brown parrotfish"
"1689","Chlorurus sordidus","Daisy parrotfish","Daisy parrotfish"
"1690","Scarus rivulatus","Rivulated parrotfish","Rivulated parrotfish"
"1691","Chlorurus perspicillatus","Spectacled parrotfish","Spectacled parrotfish"
"1692","Chlorurus japanensis","Palecheek parrotfish","Palecheek parrotfish"
"1693","Scarus coelestinus","Midnight parrotfish","Midnight parrotfish"
"1694","Sparisoma rubripinne","Redfin parrotfish","Redfin parrotfish"
"1695","Scarus falcipinnis","Sicklefin parrotfish","Sicklefin parrotfish"
"1696","Sparisoma amplum","null","null"
"1697","Sparisoma frondosum","null","null"
"1698","Scarus xanthopleura","Red parrotfish","Red parrotfish"
"1699","Scarus altipinnis","Filament-finned parrotfish","Filament-finned parrotfish"
"1700","Chlorurus microrhinos","Steephead parrots","Steephead parrots"
"1701","Sparisoma aurofrenatum","Redband parrotfish","Redband parrotfish"
"1702","Scarus rubroviolaceus","Ember parrotfish","Ember parrotfish"
"1703","Scarus iseri","Striped parrotfish","Striped parrotfish"
"1704","Hipposcarus harid","Candelamoa parrotfish","Candelamoa parrotfish"
"1705","Sparisoma viride","Stoplight parrotfish","Stoplight parrotfish"
"1706","Scarus maculipinna","Spot fin parrotfish","Spot fin parrotfish"
"1707","Scarus psittacus","Common parrotfish","Common parrotfish"
"1708","Sparisoma chrysopterum","Redtail parrotfish","Redtail parrotfish"
"1709","Scarus dimidiatus","Yellowbarred parrotfish","Yellowbarred parrotfish"
"1710","Scarus niger","Dusky parrotfish","Dusky parrotfish"
"1711","Chlorurus troschelii","Troschel's parrotfish","Troschel's parrotfish"
"1712","Chlorurus strongylocephalus","Steephead parrotfish","Steephead parrotfish"
"1713","Scarus ovifrons","Knobsnout parrotfish","Knobsnout parrotfish"
"1714","Chlorurus bleekeri","Bleeker's parrotfish","Bleeker's parrotfish"
"1715","Hipposcarus longiceps","Pacific longnose parrotfish","Pacific longnose parrotfish"
"1716","Chlorurus oedema","Knothead parrotfish","Knothead parrotfish"
"1717","Scarus forsteni","Forsten's parrotfish","Forsten's parrotfish"
"1718","Scarus trispinosus","null","null"
"1719","Scarus taeniopterus","Princess parrotfish","Princess parrotfish"
"1720","Sparisoma axillare","null","null"
"1721","Chlorurus gibbus","Heavybeak parrotfish","Heavybeak parrotfish"
"1722","Scarus koputea","Marquesan parrotfish","Marquesan parrotfish"
"1723","Scarus frenatus","Bridled parrotfish","Bridled parrotfish"
"1724","Leptoscarus vaigiensis","Marbled parrotfish","Marbled parrotfish"
"1725","Cryptotomus roseus","Bluelip parrotfish","Bluelip parrotfish"
"1726","Chlorurus genazonatus","Sinai parrotfish","Sinai parrotfish"
"1727","Scarus ferrugineus","Rusty parrotfish","Rusty parrotfish"
"1728","Scarus hypselopterus","Yellow-tail parrotfish","Yellow-tail parrotfish"
"1729","Chlorurus frontalis","Pacific slopehead parrotfish","Pacific slopehead parrotfish"
"1730","Scarus persicus","Gulf parrotfish","Gulf parrotfish"
"1731","Scarus caudofasciatus","Redbarred parrotfish","Redbarred parrotfish"
"1732","Chlorurus rhakoura","Raggedfin parrotfish","Raggedfin parrotfish"
"1733","Sparisoma atomarium","Greenblotch parrotfish","Greenblotch parrotfish"
"1734","Scarus longipinnis","Highfin parrotfish","Highfin parrotfish"
"1735","Elops saurus","Ladyfish","Ladyfish"
"1736","Megalops atlanticus","Tarpon","Tarpon"
"1737","Conus lischkeanus","Lischke's cone","Lischke's cone"
"1738","Conus pusio","null","null"
"1739","Conus praecellens","Sowerby's cone","Sowerby's cone"
"1740","Conus sanguinolentus","blood-stained cone","blood-stained cone"
"1741","Conus bullatus","bubble cone","bubble cone"
"1742","Conus betulinus","beech cone","beech cone"
"1743","Conus capitanellus","null","null"
"1744","Conus distans","distantly-lineated cone","distantly-lineated cone"
"1745","Conus textile","textile cone","textile cone"
"1746","Conus nussatella","nussatella cone","nussatella cone"
"1747","Conus striatus","striated cone","striated cone"
"1748","Conus milneedwardsi","null","null"
"1749","Conus muriculatus","null","null"
"1750","Conus coelinae","null","null"
"1751","Conus sulcatus","sulcate cone","sulcate cone"
"1752","Conus amphiurgus","null","null"
"1753","Conus emaciatus","false virgin cone","false virgin cone"
"1754","Conus gladiator","null","null"
"1755","Conus mustelinus","null","null"
"1756","Conus moluccensis","molucca cone","molucca cone"
"1757","Conus catus","cat cone","cat cone"
"1758","Conus daucus","carrot cone","carrot cone"
"1759","Conus boeticus","null","null"
"1760","Conus litoglyphus","lithograph cone","lithograph cone"
"1761","Conus floridulus","null","null"
"1762","Conus ammiralis","admiral cone","admiral cone"
"1763","Conus leopardus","leopard cone","leopard cone"
"1764","Conus coccineus","berry cone","berry cone"
"1765","Conus monachus","null","null"
"1766","Conus baileyi","null","null"
"1767","Conus monile","null","null"
"1768","Conus aureus","asiatic jackal","asiatic jackal"
"1769","Conus frigidus","frigid cone","frigid cone"
"1770","Conus obscurus","obsure cone","obsure cone"
"1771","Conus flammeacolor","null","null"
"1772","Conus kimioi","kimio's cone","kimio's cone"
"1773","Conus rattus","rat cone","rat cone"
"1774","Conus circumactus",NA,"Conus circumactus"
"1775","Conus villepinii","null","null"
"1776","Conus armadillo","null","null"
"1777","Conus brunneus","null","null"
"1778","Conus generalis","general cone","general cone"
"1779","Conus articulatus","null","null"
"1780","Conus howelli","null","null"
"1781","Conus granum","null","null"
"1782","Conus pulicarius","flea-bitten cone","flea-bitten cone"
"1783","Conus capitaneus","captain cone","captain cone"
"1784","Conus retifer","null","null"
"1785","Conus stearnsii","null","null"
"1786","Conus magus","null","null"
"1787","Conus mazei","null","null"
"1788","Conus flavidus","yellow Pacific cone","yellow Pacific cone"
"1789","Conus aulicus","princely cone","princely cone"
"1790","Conus moreleti","null","null"
"1791","Conus fergusoni","null","null"
"1792","Conus magnificus","null","null"
"1793","Conus ermineus","agate cone","agate cone"
"1794","Conus chaldaeus","astrologer'sp.  cone","astrologer'sp.  cone"
"1795","Conus terebra","terebra cone","terebra cone"
"1796","Conus bandanus","banded marcle cone","banded marcle cone"
"1797","Conus sazanka","sazanka's cone","sazanka's cone"
"1798","Conus miliaris","thousand-spot cone","thousand-spot cone"
"1799","Conus imperialis","imperial cone","imperial cone"
"1800","Conus mindanus","Bermuda cone","Bermuda cone"
"1801","Conus ebraeus","Hebrew cone","Hebrew cone"
"1802","Conus suratensis","Suratan cone","Suratan cone"
"1803","Conus granulatus","glory-of-the-Atlantic cone","glory-of-the-Atlantic cone"
"1804","Conus attenuatus","slender cone","slender cone"
"1805","Conus mus","mouse cone","mouse cone"
"1806","Conus miles","soldier cone","soldier cone"
"1807","Conus coronatus","crowned cone","crowned cone"
"1808","Conus jaspideus","Jasper cone","Jasper cone"
"1809","Conus boholensis","null","null"
"1810","Conus orbignyi","null","null"
"1811","Conus spectrum","null","null"
"1812","Conus tenuistriatus","null","null"
"1813","Conus radiatus","rayed cone","rayed cone"
"1814","Conus luteus","luteus cone","luteus cone"
"1815","Conus episcopatus","null","null"
"1816","Conus sponsalis","null","null"
"1817","Conus teramachii","null","null"
"1818","Conus parius","null","null"
"1819","Conus viola","null","null"
"1820","Conus cancellatus","cancellate cone","cancellate cone"
"1821","Conus varius","varius cone","varius cone"
"1822","Conus purpurascens","purple cone","purple cone"
"1823","Conus chiangi",NA,"Chiang's cone"
"1824","Conus striatellus","lineated cone","lineated cone"
"1825","Conus eburneus","ivory cone","ivory cone"
"1826","Conus marmoreus","marble cone","marble cone"
"1827","Conus acutangulus","the sharp-angled cone","the sharp-angled cone"
"1828","Conus cinereus","null","null"
"1829","Conus pennaceus","feathered cone","feathered cone"
"1830","Conus aurantius","null","null"
"1831","Conus litteratus","lettered cone","lettered cone"
"1832","Conus glans","acorn cone","acorn cone"
"1833","Conus achatinus","null","null"
"1834","Conus crocatus","saffron cone","saffron cone"
"1835","Conus aphrodite","null","null"
"1836","Conus canonicus","canonical cone","canonical cone"
"1837","Conus tessulatus","tesselate cone","tesselate cone"
"1838","Conus coffeae","leaden cone","leaden cone"
"1839","Conus geographus","geographer cone","geographer cone"
